Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дацюк,Аарон,Климентович,Чоловіча,1943-09-23,Підприємець,селище Великі Мости,"парк Лютневий 1-й, буд. 075, Бердянськ, 51501",+380 46 484-20-83,ivashchenkoles@example.com
Короленко,Лукʼян,Охрімович,Чоловіча,1998-07-03,Краєзнавець,місто Таврійськ,"проспект Назарівська, буд. 96 кв. 7, Яремче, 74559",+380 48 547 39 64,symongerega@example.org
Аврамчук,Алла,Глібівна,Жіноча,1942-03-18,Швачка,місто Жидачів,"набережна Кордонна, буд. 82, Сорокине, 63414",+380 (72) 928-58-66,iustymtkachenko@example.org
Їжак,Володимира,Панасівна,Жіноча,1944-04-20,Флорист,селище Антрацит,"провулок Валерія Самофалова, буд. 8 кв. 332, Міусинськ, 10470",+380 (03) 969-57-67,adevdiuk@example.net
Філіпенко,Назар,Валентинович,Чоловіча,1941-09-09,Акушер,село Мелітополь,"сквер Морехідна, буд. 5 кв. 574, Святогірськ, 32325",655 99 66,mykhailyna24@example.com
Жученко,Василь,Соломонович,Чоловіча,1942-07-08,Диригент,хутір Антрацит,"парк Лузанівський 2-й, буд. 1 кв. 490, Кременець, 21786",+380 11 852-49-48,olehchupryna@example.org
Андрійчук,Василь,Геннадійович,Чоловіча,2000-09-04,Електрик,місто Зугрес,"набережна Військовий узвіз, буд. 0, Дружківка, 44087",051 226 90 62,liza15@example.org
Гайдамака,Ольга,Стефанівна,Жіноча,2007-12-24,Будник,селище Стебник,"сквер Наявний 5-й, буд. 1, Каховка, 56030",069 739 42 31,eduard15@example.net
Ковалюк,Георгій,Болеславович,Чоловіча,1950-03-28,Золотар,місто Перечин,"парк 8-ма Лінія Дачі Ковалевського, буд. 0 кв. 77, Іршава, 76408",081-59-58,avdieienkoanita@example.com
Єфименко,Герман,Амвросійович,Чоловіча,1998-03-16,Будник,місто Ромни,"шосе Водопровідна, буд. 0, Південне, 46800",+380 05 238-76-57,wakulenko@example.org
Абрамчук,Еріка,Русланівна,Жіноча,1997-02-12,Водій,місто Рубіжне,"узвіз Ювілейний 2-й, буд. 6, Українка, 84234",094 619 76 26,skorykartem@example.com
Жайворон,Маруся,Леонтіївна,Жіноча,2008-05-27,Хореограф,село Добромиль,"узвіз Ромський, буд. 45, Дніпрорудне, 74401",078 952-80-71,halyna26@example.com
Токар,Артем,Борисович,Чоловіча,1941-05-18,Фрілансер,місто Калуш,"площа Вінницька, буд. 11, Овруч, 64689",+380 50 289-88-25,uiarosh@example.net
Юхименко,Аркадій,Вʼячеславович,Чоловіча,1963-07-26,Кушнір,село Ізяслав,"набережна Прирейкова, буд. 8, Перевальськ, 01621",+380 27 253-63-19,ishchakvenedykt@example.net
Удовиченко,Віктор,Васильович,Чоловіча,1990-07-07,Хореограф,село Славутич,"сквер Ризька, буд. 0 кв. 920, Ківерці, 86006",+380 31 284-65-37,iefremromanets@example.org
Удовенко,Петро,Богодарович,Чоловіча,1975-03-23,Археолог,селище Христинівка,"набережна Штурвальна, буд. 434, Бахчисарай, 22276",097 249-12-34,stefanderiazhna@example.com
Абраменко,Орина,Аврелійовна,Жіноча,1948-08-15,Правник,село Миргород,"площа Балтський 8-й, буд. 92, Турка, 49621",936-51-99,wdatsiuk@example.net
Асаула,Олена,Андріївна,Жіноча,2004-12-11,Петрограф,село Самбір,"сквер Лінія 42-га, буд. 401, Надвірна, 62492",+380 49 230-79-60,uchumak@example.com
Черінько,Федір,Богодарович,Чоловіча,1992-03-15,Реставратор,місто Вуглегірськ,"сквер Середньофонтанський, буд. 02, Ізюм, 01261",479-73-75,heorhii43@example.org
Бабій,Ярина,Єфремівна,Жіноча,1952-08-14,Машиніст,село Берегове,"провулок Парковий, буд. 11, Лубни, 12949",028 504-41-20,nazarhuzenko@example.com
Симоненко,Веніямин,Пантелеймонович,Чоловіча,1975-12-19,Медик,хутір Інкерман,"узвіз Туристський, буд. 8, Ірпінь, 12358",+380 01 232-57-70,volodymyrgerega@example.com
Стець,Дан,Вʼячеславович,Чоловіча,1941-05-16,Сантехнік,селище Балта,"провулок Аркадіївський, буд. 198, Волочиськ, 36776",+380 44 798-51-25,upelekh@example.com
Чміль,Валентин,Орхипович,Чоловіча,1954-05-07,Геофізик,село Ужгород,"шосе Йоганна Ансельма, буд. 74, Бобровиця, 82812",926 01 86,sruban@example.com
